CM3,51.79,0.47
CM4,51.67,0.38
CM5,51.71,0.24
CM6,51.87,0.36
CM7,51.88,0.57
CM77,51.88,0.51
CM8,51.8,0.64
CM9,51.74,0.69
CM92,51.77,0.06
CM98,51.75,0.52
CM99,51.72,0.5
CO1,51.89,0.9
CO10,52.05,0.74
CO11,51.95,1.06
CO12,51.94,1.28
CO13,51.84,1.25
CO14,51.85,1.27
CO15,51.79,1.14
CO16,51.87,1.15
CO2,51.86,0.91
CO3,51.89,0.84
CO4,51.89,0.92
CO5,51.81,0.75
CO6,51.9,0.75
CO7,51.81,1.02
CO8,51.97,0.78
CO9,51.94,0.63
CR0,51.34,-0.01
CR2,51.35,-0.09
CR3,51.31,-0.08
CR4,51.41,-0.15
CR44,51.38,-0.13
CR5,51.31,-0.14
CR6,51.28,-0.07
CR7,51.39,-0.12
CR8,51.34,-0.11
CR9,51.38,-0.09
CR90,51.38,-0.09
CT1,51.28,1.09
CT10,51.36,1.44
CT11,51.33,1.4
CT12,51.33,1.31
CT13,51.27,1.33
CT14,51.22,1.37
CT15,51.2,1.27
CT16,51.13,1.31
CT17,51.13,1.31
CT18,51.1,1.17
CT19,51.08,1.16
CT2,51.3,1.11
CT20,51.08,1.18
CT21,51.08,1.08
CT3,51.27,1.22
CT4,51.26,1.11
CT5,51.36,1.03
CT50,51.08,1.14
CT6,51.36,1.12
CT7,51.35,1.26
CT8,51.38,1.34
CT9,51.39,1.38
CV1,52.41,-1.51
CV10,52.53,-1.46
CV11,52.52,-1.46
CV12,52.48,-1.49
CV13,52.6,-1.42
CV2,52.45,-1.45
CV21,52.38,-1.25
CV22,52.37,-1.26
CV23,52.41,-1.24
CV3,52.41,-1.48
CV31,52.29,-1.53
CV32,52.29,-1.53
CV33,52.15,-1.38
CV34,52.28,-1.59
CV35,52.22,-1.51
CV36,52.06,-1.62
CV37,52.2,-1.71
CV4,52.41,-1.51
CV47,52.25,-1.4
CV5,52.4,-1.53
CV6,52.42,-1.53
CV7,52.39,-1.66
CV8,52.34,-1.58
CV9,52.58,-1.55
CW1,53.09,-2.43
CW10,53.19,-2.44
CW11,53.14,-2.37
CW12,53.16,-2.22
CW2,53.08,-2.43
CW3,52.99,-2.51
CW4,53.2,-2.36
CW5,53.07,-2.52
CW6,53.16,-2.67
CW7,53.19,-2.52
CW8,53.17,-2.52
CW9,53.26,-2.51
CW98,53.09,-2.43
DA1,51.44,0.21
DA10,51.45,0.31
DA11,51.44,0.37
DA12,51.44,0.37
DA13,51.37,0.36
DA14,51.43,0.11
DA15,51.44,0.1
DA16,51.46,0.13
DA17,51.49,0.15
DA18,51.5,0.15
DA2,51.44,0.24
DA3,51.39,0.3
DA4,51.37,0.21
DA5,51.44,0.15
DA6,51.45,0.14
DA7,51.46,0.13
DA8,51.49,0.17
DA9,51.45,0.28
DD1,56.46,-2.97
DD10,56.76,-2.47
DD11,56.56,-2.58
DD2,56.46,-2.99
